ESTDate,EST Time,SiteID,Temperature_C,Salinity,TA,DIC,Aragonite_Sat_W,pCO2,pH
4/4/11,9:30 PM,6,25.21,36.15,2380.6,2033.385,3.87,357.2,8.091
4/4/11,10:04 PM,6.5,25.06,36.17,2380.55,2034.385,3.86,356.9,8.092
4/5/11,1:58 AM,7,27.55,36.86,2382.3,1978.945,4.47,313.9,8.13
5/6/11,,,,33.08,10.05,18.59,,,
4/5/11,2:15 AM,8,26.03,36.25,2384,2011.32,4.15,331.9,8.116
4/5/11,2:41 AM,9,25.23,36.09,2377,2024.36,3.93,347.2,8.101
4/5/11,4:43 PM,12,25.48,36.11,2378.65,2033.16,3.86,362.8,8.085
4/5/11,4:54 AM,11,26.07,36.23,2382.2,2016.3,4.08,341.6,8.106
4/5/11,4:30 AM,10,27.06,36.71,2378.9,1964.6,4.58,291.9,8.155
4/8/11,4:08 AM,9.5,12.48,35.51,2339.6,2182.68,1.83,541.1,7.935
4/5/11,8:47 AM,16,27.39,35.31,2312.8,1952.07,4.06,336.7,8.101
4/5/11,9:25 AM,17,26.98,35.88,2363.05,1997.11,4.11,344.6,8.1
5/9/11,,,,33.08,7.45,,,,
4/5/11,10:45 AM,18,25.58,36.1,2378.75,2118.6,3,543.2,7.942
4/7/11,1:48 AM,22.5,26.37,35.87,2355.55,2016.18,3.82,375.8,8.069
4/7/11,2:11 AM,23,25.38,36.25,2383.65,2043.91,3.8,373.6,8.076
4/7/11,2:35 AM,24,25.61,35.6,2391.85,2078.21,3.57,420.5,8.037
4/8/11,3:22 AM,19,28.33,36.17,2269.4,1884.31,4.26,307.8,8.121
4/8/11,8:46 PM,20,27.31,35.68,2343.05,2109.22,2.77,638.4,7.878
4/8/11,9:12 PM,21,26.7,35.86,2359.55,2013.08,3.9,370,8.075
4/8/11,10:49 PM,21.5,26.31,35.8,2354.4,2016.84,3.8,376.9,8.069
4/5/11,1:58 AM,7,27.55,36.86,2372.55,,,,
7/6/11,,,,33.3,15.26,19.48,,,
6/7/11,12:51 AM,8,27.99,36.5,2381.41,1995.35,4.32,340.1,8.103
6/7/11,1:28 AM,9,27.7,36.23,2381.56,2025.51,4.02,380.3,8.067
6/8/11,2:30 AM,9.5,27.72,36.13,2380.21,2025,4.02,380.4,8.067
6/8/11,4:34 AM,10,28.3,37.23,2270.26,1827.07,4.78,246.8,8.19
6/8/11,10:00 PM,22.5,27.8,36.19,2379.86,2028.08,3.98,387.9,8.06
6/8/11,5:23 AM,12,27.56,36.28,2384.01,2033.94,3.95,389.6,8.059
7/7/11,,,,33.3,13.31,16.82,,,
6/7/11,7:21 PM,5.5,28.08,36.26,2378.26,2005.94,4.19,358.8,8.086
6/7/11,12:34 AM,7,28.31,36.8,2339.86,1928.2,4.55,299.2,8.139
6/7/11,8:15 PM,6.5,27.77,36.12,2382.71,2026.7,4.03,380.7,8.067
6/8/11,12:40 PM,19,27.61,36.93,2305.21,1948.71,3.93,359,8.073
6/8/11,1:05 PM,20,27.8,36.74,2342.86,1966.29,4.18,341.4,8.096
6/8/11,1:30 PM,21,27.59,36.15,2375.01,2027.3,3.93,389.6,8.058
6/8/11,2:05 PM,21.5,27.58,36.3,2385.46,2033.21,3.98,386.8,8.061
6/8/11,9:10 PM,23,27.77,36.73,2340.41,1989.61,3.91,380.8,8.058
7/11/11,,,,33.3,12.31,16.89,,,
6/8/11,8:35 PM,24,27.98,37.55,2241.76,1869.37,4.02,324.5,8.094
6/8/11,10:04 AM,16,27.74,36.85,2343.81,1959.42,4.25,330.5,8.107
6/8/11,11:08 AM,18,27.53,36.37,2375.06,2026.22,3.93,389.1,8.057
6/8/11,6:46 AM,13,27.96,36.92,2349.31,1961.39,4.29,330.7,8.107
6/8/11,7:14 AM,15,27.6,36.37,2385.21,2034.79,3.95,390.9,8.057
6/7/11,12:15 PM,1,27.77,37.38,2234.46,1872.55,3.92,333.3,8.085
6/7/11,12:50 PM,3,27.47,36.09,2371.76,2031.92,3.85,399.8,8.049
6/7/11,6:59 PM,5,27.93,36.19,2369.76,2005.21,4.11,365.3,8.079
7/12/11,,,,33.3,17.36,,,,
6/7/11,7:35 PM,6,27.75,36.38,2386.11,2031.1,4.01,385.8,8.062
6/8/11,10:30 AM,17,27.61,36.35,2375.76,2013.99,4.07,368.7,8.076
7/13/11,,,,33.3,13.76,,,,
9/26/11,,,,33.3,19.36,,,,
8/2/11,10:14 PM,4,31.76,36.17,2315.56,1900.86,4.69,324.7,8.104
8/2/11,10:38 PM,5,31.19,36.16,2377.21,1949.33,4.87,319.3,8.12
8/2/11,2:11 AM,7,32.17,37.28,2284.86,1872.73,4.58,333.3,8.086
n/a,,,,33.3,21.96,,,,
8/2/11,2:31 AM,8,31.07,36.13,2389.36,1961.02,4.88,320.8,8.121
8/2/11,3:10 AM,9,30.55,35.43,2408.71,1987.59,4.85,323.8,8.124
8/2/11,3:59 AM,9.5,30.14,35.76,2398.66,1983.27,4.75,326.1,8.119
n/a,,,,,2322.86,,,,
n/a,,,,,2333.86,,,,
10/4/11,,,,33.3,17.21,,,,
8/2/11,2:52 PM,1,30.79,36.19,2381.61,#REF!,4.89,312.1,8.129
8/2/11,3:05 PM,2,30.36,36.03,2391.86,#REF!,4.66,338.7,8.104
10/5/11,,,,33.3,18.96,27.23,,,
8/2/11,3:28 PM,3,30.28,35.97,2396.21,#REF!,4.78,322.4,8.122
8/3/11,6:00 AM,10,31.24,36.31,2270.21,1845.94,4.73,292.9,8.132
8/3/11,6:30 AM,11,30.94,35.94,2394.51,1964.27,4.91,316.6,8.127
8/3/11,6:58 AM,12,30.47,36.01,2410.11,1989.3,4.81,328.8,8.117
8/3/11,8:25 AM,13,31.66,36.79,2306.71,1896.46,4.6,332.3,8.093
8/3/11,8:41 AM,14,31.11,36.22,2373.61,1950.7,4.8,324.4,8.114
8/3/11,8:55 AM,15,30.24,35.61,2407.01,1991.35,4.77,328.3,8.119
8/3/11,9:20 AM,15.5,30.11,36.37,2405.81,1994.89,4.66,339.6,8.105
8/3/11,11:18 AM,18,30.33,36.62,2358.26,1962.245,4.46,350.8,8.086
8/3/11,11:45 AM,17,30.44,35.46,2377.26,1962.295,4.75,321.1,8.122
8/3/11,12:23 PM,16,31.5,36.33,2163.01,1779.275,4.23,315.9,8.089
10/6/11,,,,33.3,16.31,25.445,,,
8/3/11,3:03 PM,19,31.43,36.82,2202.61,1825.645,4.17,343,8.067
8/3/11,4:32 PM,21,30.64,38.34,2399.56,1988.705,4.55,363.4,8.074
8/3/11,5:06 PM,21.5,30.64,37.92,2392.46,1979.475,4.59,353.8,8.083
8/3/11,10:40 PM,24,31.75,36.71,2295.61,1901.445,4.43,352.5,8.072
8/4/11,5:02 AM,MR1,30.32,35.41,2402.76,1983.845,4.81,321.8,8.125
8/4/11,1:39 AM,22.5,31.17,35.22,2424.11,1998.765,4.94,329,8.12
8/4/11,12:38 AM,23,30.99,35.79,2382.36,1964.255,4.78,328.5,8.113
8/4/11,9:45 AM,MR2,29.67,35.79,2361.11,1945.545,4.7,308.7,8.133
8/4/11,3:20 PM,MR3,30.45,35.25,2420.31,1989.545,4.97,312,8.139
10/7/11,,,,33.3,13.41,26.535,,,
