"Zone","Sub_region","Month2","Season","Region","dTA_mean","dTA_sd","dnTA_mean","dnTA_sd","dDIC_mean","dDIC_sd","dnDIC_mean","dnDIC_sd","dpCO2_mean","dpCO2_sd","dpH_mean","dpH_sd","dAra_mean","dAra_sd"
"Offshore","BB","Apr","Spring","FL",2.087,9.371,2.995,4.666,0.126,0.126,0.97,10.642,-4.73,21.999,0.004,0.004,0.02,0.02
"Offshore","BB","May","Spring","FL",-2.563,6.291,7.741,18.385,-11.159,-11.159,-2.223,18.191,-20.706,8.271,0.018,0.018,0.09,0.09
"Offshore","BB","Jun","Spring","FL",-9.793,18.931,3.397,50.809,4.522,4.522,15.845,50.429,20.182,25.703,-0.017,-0.017,-0.149,-0.149
"Offshore","BB","Jul","Summer","FL",3.809,19.521,-9.741,32.032,4.628,4.628,-7.081,21.588,3.584,21.336,-0.003,-0.003,-0.017,-0.017
"Offshore","BB","Aug","Summer","FL",-28.358,19.95,-35.414,27.82,-6.479,-6.479,-17.637,19.522,42.969,33.691,-0.037,-0.037,-0.254,-0.254
"Offshore","BB","Sep","Summer","FL",-3.144,17.291,5.171,41.58,11.696,11.696,19.021,21.404,30.583,57.908,-0.023,-0.023,-0.15,-0.15
"Offshore","BB","Oct","Fall","FL",-6.606,3.961,7.518,20.814,-1.229,-1.229,11.052,16.209,5.922,18.958,-0.005,-0.005,-0.05,-0.05
"Offshore","BB","Nov","Fall","FL",2.856,6.727,-2.321,27.284,6.465,6.465,1.957,22.644,3.649,19.282,-0.003,-0.003,-0.046,-0.046
"Offshore","BB","Dec","Fall","FL",3.144,7.249,-2.768,18.817,5.8,5.8,0.745,20.996,2.185,12.197,-0.002,-0.002,-0.036,-0.036
"Offshore","UK","Jan","Winter","FL",0.033,5.855,-0.229,6.268,-2.626,-2.626,-2.86,7.509,-5.329,10.9,0.005,0.005,0.026,0.026
"Offshore","UK","Feb","Winter","FL",3.883,3.391,8.157,1.976,-10.364,-10.364,-6.72,9.782,-14.472,9.849,0.014,0.014,0.162,0.162
"Offshore","UK","Mar","Winter","FL",9.567,3.589,4.84,2.405,7.254,7.254,3.2,7.2,-12.327,6.345,0.013,0.013,0.008,0.008
"Offshore","UK","Apr","Spring","FL",2.936,6.735,5.615,10.596,1.122,1.122,3.451,11.609,-5.631,6.562,0.006,0.006,0.018,0.018
"Offshore","UK","May","Spring","FL",3.185,4.237,-1.337,10.632,-3.378,-3.378,-7.214,8.646,-10.032,5.951,0.009,0.009,0.066,0.066
"Offshore","UK","Jun","Spring","FL",-7.771,18.506,-5.595,16.901,-2.497,-2.497,-0.681,8.064,7.347,29.64,-0.007,-0.007,-0.057,-0.057
"Offshore","UK","Jul","Summer","FL",-6.403,14.678,-30.223,28.224,-4.182,-4.182,-24.665,23.521,10.015,14.59,-0.01,-0.01,-0.038,-0.038
"Offshore","UK","Aug","Summer","FL",-0.907,10.466,-4.986,17.272,-5.448,-5.448,-12.896,23.905,-3.062,4.357,0.001,0.001,0.043,0.043
"Offshore","UK","Sep","Summer","FL",-6.329,5.523,-13.699,26.719,-0.666,-0.666,-6.631,24.861,18.656,25.34,-0.017,-0.017,-0.057,-0.057
"Offshore","UK","Oct","Fall","FL",-2.84,8.399,11.05,19.313,-3.204,-3.204,8.803,23.912,-7.91,15.408,0.007,0.007,0.006,0.006
"Offshore","UK","Nov","Fall","FL",-12.433,9.937,-7.523,15.092,0.487,0.487,4.639,10.984,18.556,7.584,-0.016,-0.016,-0.139,-0.139
"Offshore","UK","Dec","Fall","FL",7.726,6.903,-3.713,20.535,8.766,8.766,-1.116,23.777,-0.634,18.611,0.002,0.002,-0.023,-0.023
"Offshore","MK","Jan","Winter","FL",1.099,5.013,0.183,4.712,6.851,6.851,6.029,4.678,5.826,6.721,-0.005,-0.005,-0.066,-0.066
"Offshore","MK","Feb","Winter","FL",0.984,18.677,13.894,35.342,5.326,5.326,16.54,26.331,-2.653,18.362,0.004,0.004,-0.047,-0.047
"Offshore","MK","Mar","Winter","FL",10.885,8.725,4.702,10.544,10.912,10.912,5.583,13.787,-9.641,11.111,0.011,0.011,-0.019,-0.019
"Offshore","MK","Apr","Spring","FL",6.002,6.805,4.358,6.629,-4.836,-4.836,-6.131,12.131,-19.553,14.867,0.018,0.018,0.11,0.11
"Offshore","MK","May","Spring","FL",-4.173,19.771,-6.954,20.237,-10.586,-10.586,-12.865,21.89,-9.466,18.901,0.008,0.008,0.064,0.064
"Offshore","MK","Jun","Spring","FL",-20.614,43.072,-12.694,37.458,-22.734,-22.734,-15.946,34.88,-10.699,27.255,0.006,0.006,0.018,0.018
