,,,,,,,,,,,,,ALKALINITY DATA,,,,,,,,,,,,,,,,,DIC DATA,,,,,,,,,,,,,CALCULATED DATA (from DIC and TA),,,,
5321,3U,4/13/2015,1:16 PM,Walton Smith,,3,25.972,36.31,0,,1.01274343258444,,6/15/2015,Apollo,CRM144,2238.6,-2.5,24.95,1.024345736,2435.1,2437.6,2436.35,2378.44500544612,2381.26970355769,8.187,8.187,8.187,,,6/10/2015,Apollo,CRM144,2031.53,24.6,1.024452093,0.7,2104.6,2103.9,2104.24,2054.018552,2052.137427,,,,,,Walton Smith
5322,4U,4/13/2015,4:19 PM,Walton Smith,,EK_IN,27.470,37.29,0,,1.01347700588957,,6/15/2015,Apollo,CRM144,2238.6,1.59999999999991,24.95,1.025090256,2342.2,2340.6,2341.4,2284.09155866488,2286.91625677645,8.338,8.338,8.338,,,6/10/2015,Apollo,CRM144,2031.53,24.5,1.025227406,-2.5,1916.4,1918.9,1917.67,1870.485632,1868.604507,,,,,,Walton Smith
5323,5U,4/13/2015,4:27 PM,Walton Smith,,EK_MID,26.961,36.58,0,,1.01337155020306,,6/15/2015,Apollo,CRM144,2238.6,0,25.05,1.024522411,2416.6,2416.6,2416.6,2358.75757757924,2361.58227569081,8.261,8.261,8.261,,,6/10/2015,Apollo,CRM144,2031.53,24.4,1.024719911,1.3,2043.9,2042.5,2043.20,1993.912949,1992.031825,,,,,,Walton Smith
5324,6U,4/13/2015,5:02 PM,Walton Smith,,4,27.669,37.32,0,,1.01361453273292,,6/15/2015,Apollo,CRM144,2238.6,0.400000000000091,25,1.025093840,2312.0,2311.6,2311.8,2255.20816661324,2258.0328647248,8.384,8.385,8.3845,,,6/10/2015,Apollo,CRM144,2031.53,24.7,1.025185573,2.7,1860.7,1858.0,1859.38,1813.700217,1811.819092,,,,,,Walton Smith
5325,7U,4/13/2015,6:12 PM,Walton Smith,,5,27.427,36.71,0,,1.0136661850553,,6/15/2015,Apollo,CRM144,2238.6,-1.90000000000009,25.15,1.024591568,2409.5,2411.4,2410.45,2352.59597651506,2355.42067462663,8.314,8.317,8.3155,,,6/10/2015,Apollo,CRM144,2031.53,25.1,1.024606923,-2.3,1990.9,1993.2,1992.03,1944.188828,1942.307703,,,,,,Walton Smith
5326,8U,4/13/2015,6:21 PM,Walton Smith,,5.5,27.253,36.51,0,,1.01361564251406,,6/15/2015,Apollo,CRM144,2238.6,0.700000000000273,24.9,1.024512291,2438.9,2438.2,2438.55,2380.20570460691,2383.03040271847,8.283,8.285,8.284,,,6/10/2015,Apollo,CRM144,2031.53,24.7,1.024573158,3.4,2051.4,2048.0,2049.70,2000.542562,1998.661437,,,,,,Walton Smith
5327,9U,4/13/2015,6:36 PM,Walton Smith,,6,26.170,36.38,0,,1.01286314915485,,6/15/2015,Apollo,CRM144,2238.6,-2.29999999999973,24.85,1.024429936,2437.4,2439.7,2438.55,2380.39705280822,2383.22175091979,8.197,8.197,8.197,,,6/10/2015,Apollo,CRM144,2031.53,24.5,1.024536054,1.2,2106.6,2105.4,2105.96,2055.527613,2053.646488,,,,,,Walton Smith
5328,10U,4/13/2015,6:51 PM,Walton Smith,,6.5,26.153,36.36,0,,1.01285811286351,,6/15/2015,Apollo,CRM144,2238.6,0.599999999999909,24.55,1.024505813,2438.9,2438.3,2438.6,2380.26955895884,2383.09425707041,8.203,8.197,8.2,,,6/10/2015,Apollo,CRM144,2031.53,24.5,1.024520913,3.5,2101.9,2098.4,2100.15,2049.889165,2048.008041,,,,,,Walton Smith
5329,11U,4/13/2015,7:40 PM,Walton Smith,,MR,26.111,36.34,0,,1.0128334500948,,6/15/2015,Apollo,CRM144,2238.6,2.29999999999973,24.8,1.024417159,2440.7,2438.4,2439.55,2381.40290774827,2384.22760585983,8.197,8.197,8.197,,,6/10/2015,Apollo,CRM144,2031.53,24.8,1.024417159,0.6,2111.7,2111.1,2111.44,2061.113254,2059.232129,,,,,,Walton Smith
5330,CRM144,,,,,,,33.57,0,,,,6/16/2015,Apollo,CRM144,2238.6,1.09999999999991,25.1,1.022233260,2283.9,2282.8,2283.35,2233.68783793934,4.9121620606561,8.004,8.011,8.0075,,,,,,,,,,,,,,,,,,,,
5331,12U,4/13/2015,10:12 PM,Walton Smith,,UK_MID,26.550,36.38,0,,1.01314199881464,,6/16/2015,Apollo,CRM144,2238.6,-3.40000000000009,25.05,1.024373409,2434.1,2437.5,2435.8,2377.84383941519,2382.75600147585,8.211,8.206,8.2085,,,6/10/2015,Apollo,CRM144,2031.53,24.7,1.024480072,2.4,2091.4,2089.0,2090.21,2040.265466,2038.384341,,,,,,Walton Smith
5332,CRM144,,,,,,,33.57,0,,,,,,,,,,,,,,,,,,,,,6/11/2015,Apollo,CRM144,2031.53,25.4,1.022142059,1.3,2075.9,2074.5,2075.21,2030.258913,1.271087,,,,,,
5333,13U,4/13/2015,12:07 AM,Walton Smith,,8,27.216,36.56,0,,1.01356817641927,,6/16/2015,Apollo,CRM144,2238.6,3.20000000000027,25,1.024521834,2448.9,2445.7,2447.3,2388.72410515791,2393.63626721856,8.275,8.273,8.274,,,6/11/2015,Apollo,CRM144,2031.53,25.0,1.024521834,2.6,2059.0,2056.4,2057.73,2008.473558,2009.744645,,,,,,Walton Smith
5334,14U,4/13/2015,11:44 PM,Walton Smith,,7,27.398,36.629,0,,1.01367627666731,,6/16/2015,Apollo,CRM144,2238.6,-2.30000000000018,24.85,1.024620605,2437.1,2439.4,2438.25,2379.66129880657,2384.57346086723,8.275,8.27,8.2725,,,6/11/2015,Apollo,CRM144,2031.53,24.5,1.024726839,1.6,2051.7,2050.1,2050.92,2001.426927,2002.698014,,,,,,Walton Smith
5335,15U,4/13/2015,10:23 PM,Walton Smith,,UK_IN,28.052,36.967,0,,1.01403130870617,,6/16/2015,Apollo,CRM144,2238.6,2.80000000000018,25.1,1.024799818,2371.9,2369.1,2370.5,2313.13468163267,2318.04684369333,8.362,8.362,8.362,,,6/11/2015,Apollo,CRM144,2031.53,24.6,1.024952477,0.5,1920.6,1920.1,1920.37,1873.615913,1874.887000,,,,,,Walton Smith
5336,16U,4/13/2015,10:03 PM,Walton Smith,,UK_OFF,26.082,36.421,0,,1.0127814646146,,6/16/2015,Apollo,CRM144,2238.6,1,25.05,1.024402149,2437.6,2436.6,2437.1,2379.04616067652,2383.95832273717,8.191,8.189,8.19,,,6/11/2015,Apollo,CRM144,2031.53,24.8,1.024478446,3.1,2102.4,2099.3,2100.84,2050.647410,2051.918497,,,,,,Walton Smith
5337,17U,4/13/2015,12:39 AM,Walton Smith,,9,27.000,36.463,0,,1.01344471488791,,6/16/2015,Apollo,CRM144,2238.6,0,25.15,1.024403256,2448.4,2448.4,2448.4,2390.07440219909,2394.98656425974,8.242,8.242,8.242,,,6/11/2015,Apollo,CRM144,2031.53,24.6,1.024570926,0.6,2074.1,2073.5,2073.82,2024.088214,2025.359301,,,,,,Walton Smith
5338,18U,4/13/2015,1:12 AM,Walton Smith,,9.5,26.188,36.298,0,,1.01290622846299,,6/16/2015,Apollo,CRM144,2238.6,-2.69999999999982,24.8,1.024385381,2431.8,2434.5,2433.15,2375.22913272788,2380.14129478853,8.193,8.191,8.192,,,6/11/2015,Apollo,CRM144,2031.53,24.8,1.024385381,1.3,2102.7,2101.4,2102.07,2052.035031,2053.306119,,,,,,Walton Smith
5339,19U,4/13/2015,3:10 AM,Walton Smith,,10,27.332,36.723,0,,1.01359171671534,,6/16/2015,Apollo,CRM144,2238.6,2.30000000000018,25.05,1.024630580,2428.3,2426.0,2427.15,2368.8049591523,2373.71712121296,8.304,8.29,8.297,,,6/11/2015,Apollo,CRM144,2031.53,25.1,1.024615244,2.0,2028.1,2026.1,2027.10,1978.399554,1979.670641,,,,,,Walton Smith
5340,20U,4/13/2015,3:36 AM,Walton Smith,,11,27.070,36.761,0,,1.01338344854443,,6/16/2015,Apollo,CRM144,2238.6,-2.39999999999964,25.15,1.024628628,2419.8,2422.2,2421,2362.80729713367,2367.71945919433,8.268,8.263,8.2655,,,6/11/2015,Apollo,CRM144,2031.53,24.6,1.024796512,-0.8,2034.5,2035.3,2034.89,1985.651153,1986.922240,,,,,,Walton Smith
5341,21U,4/14/2015,4:06 AM,Walton Smith,,12,25.876,36.331,0,,1.01266301397014,,6/16/2015,Apollo,CRM144,2238.6,-1.89999999999964,24.95,1.024364646,2432.3,2434.2,2433.25,2375.37483202926,2380.28699408992,8.184,8.188,8.186,,,6/11/2015,Apollo,CRM144,2031.53,24.5,1.024501231,2.4,2102.0,2099.6,2100.83,2050.584955,2051.856042,,,,,,Walton Smith
5342,22U,4/14/2015,5:54 AM,Walton Smith,,13,27.547,37.028,0,,1.0136344021922,,6/16/2015,Apollo,CRM144,2238.6,-2.70000000000027,25,1.024876659,2366.6,2369.3,2367.95,2310.47314652624,2315.3853085869,8.294,8.294,8.294,,,6/11/2015,Apollo,CRM144,2031.53,24.6,1.024998665,4.0,1967.1,1963.2,1965.15,1917.218849,1918.489937,,,,,,Walton Smith
5343,23U,4/14/2015,6:09 AM,Walton Smith,,14,26.139,36.376,0,,1.01284059540763,,6/16/2015,Apollo,CRM144,2238.6,3.40000000000009,24.75,1.024459595,2437.6,2434.2,2435.9,2377.74140712821,2382.65356918886,8.196,8.194,8.195,,,6/11/2015,Apollo,CRM144,2031.53,24.7,1.024474774,0.5,2099.0,2098.5,2098.80,2048.655286,2049.926373,,,,,,Walton Smith
5344,24U,4/14/2015,6:27 AM,Walton Smith,,15,25.880,36.411,0,,1.01263583547121,,6/16/2015,Apollo,CRM144,2238.6,0.699999999999818,24.75,1.024486080,2444.0,2443.3,2443.65,2385.24470688992,2390.15686895057,8.186,8.193,8.1895,,,6/11/2015,Apollo,CRM144,2031.53,24.7,1.024501262,2.7,2109.5,2106.9,2108.19,2057.774000,2059.045087,,,,,,Walton Smith
5345,CRM144,,,,,,,33.57,0,,,,6/17/2015,Apollo,CRM144,2238.6,-3.40000000000009,25,1.022263504,2287.5,2290.9,2289.2,2239.34434832806,-0.744348328063552,8.021,8.023,8.022,,,6/11/2015,Apollo,CRM144,2031.53,25.1,1.022233260,0.7,2074.9,2074.2,2074.53,2029.409828,2.120172,,,,,,
5346,1Z,4/14/2015,6:59 AM,Walton Smith,,15.5,26.015,36.373,0,,1.01275000631534,,6/17/2015,Apollo,CRM144,2238.6,3.70000000000027,24.7,1.024472504,2447.8,2444.1,2445.95,2387.52137315818,2386.77702483011,8.202,8.197,8.1995,,,6/11/2015,Apollo,CRM144,2031.53,25.1,1.024350532,-1.4,2111.8,2113.2,2112.54,2062.318131,2064.438303,,,,,,Walton Smith
5347,2Z,4/14/2015,9:15 AM,Walton Smith,,16,27.380,37.001,0,,1.01352121473542,,6/17/2015,Apollo,CRM144,2238.6,-1,24.75,1.024932619,2333.5,2334.5,2334,2277.22286973659,2276.47852140852,8.297,8.281,8.289,,,6/11/2015,Apollo,CRM144,2031.53,24.8,1.024917380,-0.1,1944.6,1944.7,1944.65,1897.371404,1899.491577,,,,,,Walton Smith
5348,3Z,4/14/2015,9:51 AM,Walton Smith,,17,26.279,36.483,0,,1.01290376730286,,6/17/2015,Apollo,CRM144,2238.6,0.099999999999909,24.7,1.024555751,2436.5,2436.4,2436.45,2378.05507220324,2377.31072387517,8.206,8.206,8.206,,,6/11/2015,Apollo,CRM144,2031.53,24.6,1.024586065,-0.7,2096.2,2096.9,2096.56,2046.253044,2048.373217,,,,,,Walton Smith
5349,4Z,4/14/2015,10:18 AM,Walton Smith,,18,25.800,36.388,0,,1.01258533780593,,6/17/2015,Apollo,CRM144,2238.6,1.5,24.6,1.024514157,2443.6,2442.1,2442.85,2384.39848071763,2383.65413238956,8.197,8.194,8.1955,,,6/11/2015,Apollo,CRM144,2031.53,24.6,1.024514157,2.8,2117.0,2114.2,2115.62,2065.000257,2067.120429,,,,,,Walton Smith
5350,5Z,4/14/2015,12:58 PM,Walton Smith,,19,26.706,36.602,0,,1.01317457507601,,6/17/2015,Apollo,CRM144,2238.6,-3.5,24.7,1.024645815,2350.0,2353.5,2351.75,2295.18333705664,2294.43898872858,8.263,8.273,8.268,,,6/11/2015,Apollo,CRM144,2031.53,24.7,1.024645815,1.9,1978.5,1976.5,1977.50,1929.936578,1932.056750,,,,,,Walton Smith
5351,6Z,4/14/2015,1:01 PM,Walton Smith,,20,26.714,36.592,0,,1.0131842824645,,6/17/2015,Apollo,CRM144,2238.6,1.5,24.55,1.024683709,2425.1,2423.6,2424.35,2365.94958788506,2365.20523955699,8.238,8.22,8.229,,,6/11/2015,Apollo,CRM144,2031.53,25.1,1.024516159,-0.8,2068.9,2069.7,2069.28,2019.759084,2021.879256,,,,,,Walton Smith
5352,CRM144,,,,,,,33.57,,,,,6/23/2015,Apollo,CRM144,2238.6,0.099999999999909,24.45,1.022428444,2276.2,2276.1,2276.15,2226.2193647413,12.3806352586957,8.031,8.032,8.0315,,,6/17/2015,Apollo,CRM144,2031.53,24.5,1.022413547,2.2,2077.5,2075.3,2076.42,2030.901404,0.628596,,,,,,
5353,7Z,4/14/2015,1:20 PM,Walton Smith,,21/LK,25.805,36.383,0,,1.0125909193651,,6/23/2015,Apollo,CRM144,2238.6,0,24.65,1.024495232,2430.4,2430.4,2430.4,2372.29020116208,2384.67083642078,8.202,8.202,8.202,,,6/17/2015,Apollo,CRM144,2031.53,25.0,1.024388705,2.6,2118.0,2115.4,2116.69,2066.299341,2066.927938,,,,,,Walton Smith
5354,8Z,4/14/2015,3:38 PM,Walton Smith,,21.5,25.641,36.402,0,,1.01246247774272,,6/23/2015,Apollo,CRM144,2238.6,4,24.75,1.024479270,2431.0,2427.0,2429,2370.96061551266,2383.34125077136,8.199,8.2,8.1995,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.024433611,-2.8,2115.7,2118.4,2117.05,2066.561114,2067.189710,,,,,,Walton Smith
5355,9Z,4/14/2015,5:50 PM,Walton Smith,,WS,26.050,36.376,0,,1.01277476380884,,6/23/2015,Apollo,CRM144,2238.6,-1.70000000000027,24.7,1.024474774,2426.7,2428.4,2427.55,2369.55565957794,2381.93629483664,8.205,8.197,8.201,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.024413942,1.6,2111.0,2109.4,2110.19,2059.897456,2060.526052,,,,,,Walton Smith
5356,10Z,4/14/2015,7:05 PM,Walton Smith,,22.5,26.128,36.480,0,,1.01279321733404,,6/23/2015,Apollo,CRM144,2238.6,2.89999999999964,24.6,1.024583794,2436.7,2433.8,2435.25,2376.81877675659,2389.19941201528,8.199,8.197,8.198,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.024492621,1.1,2126.3,2125.2,2125.73,2074.911720,2075.540317,,,,,,Walton Smith
5357,11Z,4/14/2015,7:26 PM,Walton Smith,,22,26.234,36.736,0,,1.01277468870594,,6/23/2015,Apollo,CRM144,2238.6,3.29999999999973,24.55,1.024792730,2433.6,2430.3,2431.95,2373.11402401506,2385.49465927376,8.207,8.204,8.2055,,,6/17/2015,Apollo,CRM144,2031.53,24.8,1.024716814,2.2,2117.2,2115.0,2116.07,2065.028201,2065.656797,,,,,,Walton Smith
5358,12Z,4/14/2015,7:38 PM,Walton Smith,,23,26.729,36.465,0,,1.01324345239591,,6/23/2015,Apollo,CRM144,2238.6,1.80000000000018,24.65,1.024557294,2429.0,2427.2,2428.1,2369.90162939492,2382.28226465361,8.216,8.212,8.214,,,6/17/2015,Apollo,CRM144,2031.53,25.0,1.024450729,-1.5,2109.2,2110.7,2109.95,2059.594290,2060.222886,,,,,,Walton Smith
5359,13Z,4/14/2015,7:54 PM,Walton Smith,,24,28.048,36.982,0,,1.01402260905075,,6/23/2015,Apollo,CRM144,2238.6,1.69999999999982,24.9,1.024872464,2286.1,2284.4,2285.25,2229.78963657533,2242.17027183403,8.262,8.265,8.2635,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.024872464,1.4,1936.6,1935.1,1935.85,1888.868065,1889.496661,,,,,,Walton Smith
5360,14Z,4/15/2015,4:05 PM,Walton Smith,,54,27.831,35.585,0,,1.01438997781718,,6/23/2015,Apollo,CRM144,2238.6,1.19999999999982,24.75,1.023861185,3339.6,3338.4,3339,3261.1842795406,3273.56491479929,8.108,8.109,8.1085,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.023815687,-2.7,2992.1,2994.8,2993.48,2923.846878,2924.475474,,,,,,Walton Smith
5361,15Z,4/15/2015,4:43 PM,Walton Smith,,55,27.870,35.890,0,,1.01430472994005,,6/23/2015,Apollo,CRM144,2238.6,2.69999999999982,24.7,1.024107039,3027.1,3024.4,3025.75,2954.52514654214,2966.90578180084,8.156,8.157,8.1565,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.024046334,1.4,2686.3,2684.9,2685.62,2622.554943,2623.183539,,,,,,Walton Smith
5362,16Z,4/15/2015,5:16 PM,Walton Smith,,56,27.791,35.759,0,,1.01429530577248,,6/23/2015,Apollo,CRM144,2238.6,3.5,24.7,1.024007935,2999.2,2995.7,2997.45,2927.17458316264,2939.55521842134,8.166,8.164,8.165,,,6/17/2015,Apollo,CRM144,2031.53,25.2,1.023855677,2.2,2655.3,2653.1,2654.19,2592.345754,2592.974350,,,,,,Walton Smith
5363,17Z,4/15/2015,5:45 PM,Walton Smith,,57,27.828,35.821,0,,1.01429949420637,,6/23/2015,Apollo,CRM144,2238.6,0.300000000000182,24.5,1.024115214,2895.8,2895.5,2895.65,2827.46507373071,2839.8457089894,8.226,8.226,8.226,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.023994151,3.8,2518.6,2514.8,2516.66,2457.686948,2458.315544,,,,,,Walton Smith
5364,18Z,4/15/2015,6:30 PM,Walton Smith,,57.1,27.700,36.070,0,,1.01411117215775,,6/23/2015,Apollo,CRM144,2238.6,-2,24.2,1.024393745,2709.6,2711.6,2710.6,2646.05286069248,2658.43349595117,8.236,8.235,8.2355,,,6/17/2015,Apollo,CRM144,2031.53,24.9,1.024182473,3.3,2355.1,2351.8,2353.44,2297.866926,2298.495522,,,,,,Walton Smith
5365,19Z,4/15/2015,7:39 PM,Walton Smith,,57.2,27.371,35.926,0,,1.01392163527352,,6/23/2015,Apollo,CRM144,2238.6,-1.19999999999982,24.5,1.024194679,2513.3,2514.5,2513.9,2454.51382589189,2466.89446115059,8.205,8.202,8.2035,,,6/17/2015,Apollo,CRM144,2031.53,25.0,1.024043087,4.4,2198.5,2194.1,2196.27,2144.703120,2145.331716,,,,,,Walton Smith
5366,CRM144,,,,,,,33.57,,,,,6/23/2015,Apollo,CRM144,2238.6,0.099999999999909,24.45,1.022428444,2276.2,2276.1,2276.15,2226.2193647413,12.3806352586957,8.031,8.032,8.0315,,,6/18/2015,Apollo,CRM144,2031.53,24.1,1.022532163,2.1,2076.6,2074.5,2075.57,2029.833265,1.696735,,,,,,
5367,20Z,4/16/2015,12:45 PM,Walton Smith,,57.2b,27.227,36.951,0,,1.0134271613197,,6/23/2015,Apollo,CRM144,2238.6,1.5,24.7,1.024909987,2506.8,2505.3,2506.05,2445.14155448215,2457.52218974085,8.192,8.193,8.1925,,,6/18/2015,Apollo,CRM144,2031.53,25.0,1.024818398,1.2,2199.8,2198.6,2199.16,2145.906163,2147.602898,,,,,,Walton Smith
5368,21Z,4/17/2014,7:46 AM,Walton Smith,,EK_OFF,26.237,36.368,0,,1.01291610369586,,6/23/2015,Apollo,CRM144,2238.6,2,24.35,1.024574427,2427.5,2425.5,2426.5,2368.30037603259,2380.68101129128,8.216,8.216,8.216,,,6/18/2015,Apollo,CRM144,2031.53,24.9,1.024407890,-3.7,2107.3,2111.0,2109.12,2058.865266,2060.562001,,,,,,Walton Smith
5369,22Z,4/16/2015,4:34 PM,Walton Smith,,54b,27.787,35.516,0,,1.01438310361276,,6/23/2015,Apollo,CRM144,2238.6,2.60000000000036,24.65,1.023839223,3304.3,3301.7,3303,3226.09246140657,3238.47309666527,8.139,8.137,8.138,,,6/18/2015,Apollo,CRM144,2031.53,24.9,1.023763513,-2.8,2949.5,2952.3,2950.92,2882.425699,2884.122433,,,,,,Walton Smith
5370,23Z,4/16/2015,3:45 PM,Walton Smith,,55b,28.010,35.540,0,,1.01453942328889,,6/23/2015,Apollo,CRM144,2238.6,0,24.4,1.023932609,3147.5,3147.5,3147.5,3073.93276769706,3086.31340295575,8.151,8.151,8.151,,,6/18/2015,Apollo,CRM144,2031.53,24.8,1.023812006,2.3,2803.4,2801.1,2802.23,2737.058306,2738.755041,,,,,,Walton Smith
5371,24Z,4/16/2015,2:50 PM,Walton Smith,,57b,27.730,35.530,0,,1.01433564502321,,6/23/2015,Apollo,CRM144,2238.6,0.599999999999909,24.55,1.023879963,2823.7,2823.1,2823.4,2757.54981157249,2769.93044683118,8.214,8.214,8.214,,,6/18/2015,Apollo,CRM144,2031.53,24.8,1.023804443,2.2,2467.4,2465.2,2466.31,2408.970110,2410.666844,,,,,,Walton Smith
5654,CRM144,,,,,,,33.57,,,,,10/5/2015,Apollo 1,CRM144,2238.6,0.300000000000182,25.7,1.022050157,2285.5,2285.2,2285.35,2236.04485931713,2.55514068287175,7.997,7.988,7.9925,,,7/27/2015,Apollo,CRM144,2031.52999999999,23.8,1.022620291,0.3,2080.6,2080.3,2080.48,2034.459296,-2.929296,,,,,,
5655,1T,6/2/2015,5:06 AM,Walton Smith,,15,27.85,36.39,,,1.01409770400858,,10/5/2015,Apollo 1,CRM144,2238.6,2.20000000000027,24.7,1.024488396,2441.3,2439.1,2440.2,2381.87177985679,2384.42692053966,8.176,8.176,8.176,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.2,1.024639131,-0.4,2098.4,2098.8,2098.57,2048.101787,2045.172491,,,,,,Walton Smith - June 
5656,2T,6/2/2015,5:40 AM,Walton Smith,,15.5,27.67,36.37,,,1.01397873655801,,10/5/2015,Apollo 1,CRM144,2238.6,-3.40000000000009,24.55,1.024514140,2437.7,2441.1,2439.4,2381.03107178024,2383.58621246311,8.185,8.18,8.1825,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.8,1.024438344,0.0,2096.4,2096.4,2096.37,2046.357439,2043.428143,,,,,,Walton Smith - June 
5657,3T,6/2/2015,7:31 AM,Walton Smith,,18,27.72,36.39,,,1.01400186391776,,10/5/2015,Apollo 1,CRM144,2238.6,-3.30000000000018,25,1.024394756,2436.6,2439.9,2438.25,2380.18594562812,2382.74108631099,8.181,8.181,8.181,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.7,1.024486126,1.2,2101.5,2100.3,2100.94,2050.724578,2047.795281,,,,,,Walton Smith - June 
5658,4T,6/2/2015,8:06 AM,Walton Smith,,17,28.50,36.73,,,1.01445597583138,,10/5/2015,Apollo 1,CRM144,2238.6,1.19999999999982,24.7,1.024743454,2373.5,2372.3,2372.9,2315.60396033233,2318.1591010152,8.236,8.222,8.229,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.2,1.024894411,3.3,2014.5,2011.2,2012.85,1963.960584,1961.031287,,,,,,Walton Smith - June 
5659,CRM144-TA,,,,,,,33.57,,,,,10/6/2015,Apollo 1,CRM144,2238.6,-4.90000000000009,25,1.022263504,2281.0,2285.9,2283.45,2233.71957548039,4.88042451960655,8.016,8.012,8.014,,,,,,,,,,,,,,,,,,,,
5660,5T,6/2/2015,8:31 AM,Walton Smith,,16,28.62,37.74,,,1.01415239467324,,10/6/2015,Apollo 1,CRM144,2238.6,3.90000000000009,25,1.025414761,2208.1,2204.2,2206.15,2151.47088243256,2156.35130695217,8.259,8.23,8.2445,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.9,1.025445470,1.2,1824.4,1823.1,1823.75,1778.492645,1775.563348,,,,,,Walton Smith - June 
5661,6T,6/2/2015,10:30 AM,Walton Smith,,19,28.50,36.88,,,1.0143994441108,,10/6/2015,Apollo 1,CRM144,2238.6,0.199999999999818,24.8,1.024825040,2357.6,2357.4,2357.5,2300.3926606431,2305.27308516271,8.17,8.153,8.1615,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.8,1.024825040,-1.5,2026.3,2027.8,2027.01,1977.904710,1974.975413,,,,,,Walton Smith - June 
5662,7T,6/2/2015,10:50 AM,Walton Smith,,20,28.19,36.73,,,1.01422355986938,,10/6/2015,Apollo 1,CRM144,2238.6,-2.40000000000009,24.9,1.024682529,2381.4,2383.8,2382.6,2325.20798743008,2330.08841194969,8.208,8.21,8.209,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.5,1.024804070,1.1,2036.2,2035.1,2035.61,1986.339744,1983.410448,,,,,,Walton Smith - June 
5663,8T,6/2/2015,11:21 AM,Walton Smith,,21/LK,27.81,36.40,,,1.01407024525857,,10/6/2015,Apollo 1,CRM144,2238.6,-0.099999999999909,24.7,1.024494451,2431.6,2431.7,2431.65,2373.51212470444,2378.39254922405,8.193,8.193,8.193,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.4,1.024585128,0.7,2100.2,2099.5,2099.88,2049.495864,2046.566568,,,,,,Walton Smith - June 
5664,9T,6/2/2015,12:18 PM,Walton Smith,,21.5,27.60,36.38,,,1.01391756038515,,10/6/2015,Apollo 1,CRM144,2238.6,0.399999999999636,24.2,1.024629284,2434.2,2433.8,2434,2375.49330083797,2380.37372535758,8.179,8.179,8.179,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.9,1.024417725,-1.8,2104.4,2106.2,2105.27,2055.092806,2052.163509,,,,,,Walton Smith - June 
5665,10T,6/2/2015,2:21 PM,Walton Smith,,WS,27.78,36.40,,,1.01404548864826,,10/6/2015,Apollo 1,CRM144,2238.6,-3.90000000000009,24.9,1.024429829,2428.5,2432.4,2430.45,2372.49046418301,2377.37088870262,8.179,8.179,8.179,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.8,1.024460286,-2.6,2105.1,2107.7,2106.42,2056.122903,2053.193607,,,,,,Walton Smith - June 
5666,11T,6/2/2015,3:39 PM,Walton Smith,,22.5,27.50,36.37,,,1.01384952711954,,10/6/2015,Apollo 1,CRM144,2238.6,2.70000000000027,25,1.024381141,2436.4,2433.7,2435.05,2377.09374270145,2381.97416722106,8.196,8.187,8.1915,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.7,1.024472504,-2.3,2104.0,2106.3,2105.17,2054.885649,2051.956353,,,,,,Walton Smith - June 
5667,12T,6/2/2015,4:05 PM,Walton Smith,,22,27.71,36.38,,,1.01400347764824,,10/6/2015,Apollo 1,CRM144,2238.6,-4.90000000000009,25,1.024382654,2435.6,2440.5,2438.05,2380.0188254893,2384.89925000891,8.191,8.193,8.192,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.6,1.024504318,-0.6,2105.3,2105.8,2105.54,2055.182746,2052.253449,,,,,,Walton Smith - June 
5668,CRM144-TA,,,,,,,33.57,,,,,10/13/2015,Apollo 1,CRM144,2238.6,-3.5,25,1.022263504,2280.3,2283.8,2282.05,2232.35006556966,6.24993443034327,8.013,8.011,8.012,,,,,,,,,,,,,,,,,,,,
5669,13T,6/2/2015,4:18 PM,Walton Smith,,23,28.20,36.60,,,1.01428050313746,,10/13/2015,Apollo 1,CRM144,2238.6,-2.59999999999991,25,1.024550579,2387.9,2390.5,2389.2,2331.94929442188,2338.19922885223,8.201,8.205,8.203,,,7/27/2015,Apollo,CRM144,2031.52999999999,24.6,1.024672359,-2.1,2044.4,2046.4,2045.39,1996.138317,1993.209021,,,,,,Walton Smith - June 
